id,isResult,side,h,a,goals,xG,datetime,forecast,result,date,team,is_home,opponent,home_title,away_title,h_goals,a_goals,xG_num,xGA_num,rolling_xg,rolling_xga,rest_days,is_derby,euro_travel
18364,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '2.25263', 'a': '0.883787'}",2022-12-26 12:30:00+00:00,"{'w': 0.6832199424208061, 'd': 0.18376362288280176, 'l': 0.13301641646645732}",d,2022-12-26 12:30:00+00:00,Brentford,True,Tottenham,Brentford,Tottenham,2,2,2.25263,0.883787,1.812068,1.5599044,44,False,False
18380,True,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '2'}","{'h': '1.13979', 'a': '1.51436'}",2022-12-30 19:45:00+00:00,"{'w': 0.28583451678615923, 'd': 0.25541840142274813, 'l': 0.45874708169542594}",w,2022-12-30 19:45:00+00:00,Brentford,False,West_Ham,West Ham,Brentford,0,2,1.51436,1.13979,1.9140160000000002,1.0966283999999997,4,False,False
18384,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '3', 'a': '1'}","{'h': '2.0991', 'a': '2.10461'}",2023-01-02 17:30:00+00:00,"{'w': 0.3982213854040104, 'd': 0.20148019477512805, 'l': 0.4002984049818594}",w,2023-01-02 17:30:00+00:00,Brentford,True,Liverpool,Brentford,Liverpool,3,1,2.0991,2.10461,2.075322,1.4060294,2,False,False
18393,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '0'}","{'h': '1.29815', 'a': '0.269283'}",2023-01-14 17:30:00+00:00,"{'w': 0.6360337276596717, 'd': 0.2881181917505228, 'l': 0.07584808057842513}",w,2023-01-14 17:30:00+00:00,Brentford,True,Bournemouth,Brentford,Bournemouth,2,0,1.29815,0.269283,2.090872,1.2004939999999997,12,False,False
18406,True,a,"{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '0'}","{'h': '0.374736', 'a': '0.17114'}",2023-01-22 14:00:00+00:00,"{'w': 0.27137091333257096, 'd': 0.6170880568957345, 'l': 0.11154102977169425}",d,2023-01-22 14:00:00+00:00,Brentford,False,Leeds,Leeds,Brentford,0,0,0.17114,0.374736,1.467076,0.9544411999999998,7,False,False
18413,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'h': '3', 'a': '0'}","{'h': '2.36747', 'a': '0.644385'}",2023-02-04 15:00:00+00:00,"{'w': 0.7586717086926366, 'd': 0.15822947165997917, 'l': 0.08309878510181169}",w,2023-02-04 15:00:00+00:00,Brentford,True,Southampton,Brentford,Southampton,3,0,2.36747,0.644385,1.490044,0.9065607999999999,13,False,False
18422,True,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '1'}","{'h': '1.36738', 'a': '2.17538'}",2023-02-11 15:00:00+00:00,"{'w': 0.2365951679463038, 'd': 0.20459327357093932, 'l': 0.5588115468549316}",d,2023-02-11 15:00:00+00:00,Brentford,False,Arsenal,Arsenal,Brentford,1,1,2.17538,1.36738,1.6222480000000001,0.9520788,7,False,False
18433,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '1'}","{'h': '0.610105', 'a': '1.12202'}",2023-02-18 15:00:00+00:00,"{'w': 0.19969744180675117, 'd': 0.32038138261459836, 'l': 0.4799211755771446}",d,2023-02-18 15:00:00+00:00,Brentford,True,Crystal_Palace,Brentford,Crystal Palace,1,1,0.610105,1.12202,1.324449,0.7555607999999998,7,False,False
18454,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': '3', 'a': '2'}","{'h': '2.44358', 'a': '1.67531'}",2023-03-06 20:00:00+00:00,"{'w': 0.547835519572254, 'd': 0.19135385569484045, 'l': 0.2608105726233781}",w,2023-03-06 20:00:00+00:00,Brentford,True,Fulham,Brentford,Fulham,3,2,2.44358,1.67531,1.553535,1.0367662,16,False,False
18464,True,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '0'}","{'h': '1.71599', 'a': '1.95088'}",2023-03-11 15:00:00+00:00,"{'w': 0.345058934784351, 'd': 0.21574064094758763, 'l': 0.43920042097061024}",l,2023-03-11 15:00:00+00:00,Brentford,False,Everton,Everton,Brentford,1,0,1.95088,1.71599,1.9094829999999998,1.3050169999999999,4,False,False
