decile,mean_lambda,mean_goals,n
0,0.2754000967578852,0.3447368421052632,380
1,0.5659407849610377,0.6052631578947368,380
2,0.7777970085020004,0.8184210526315789,380
3,0.9916054827559285,1.0710526315789475,380
4,1.2013285564005929,1.1921052631578948,380
5,1.4210899332211226,1.4763157894736842,380
6,1.669685862332624,1.6236842105263158,380
7,1.9857438973742676,1.931578947368421,380
8,2.4081354012488823,2.2973684210526315,380
9,3.31075527579844,3.218421052631579,380
